,Ticker,Company Name,Industry,Sub-Industry,Date Added,Founded
360,PKG,Packaging Corporation of America,Paper & Plastic Packaging Products & Materials,"Lake Forest, Illinois",2017-07-26,1959
361,PLTR,Palantir Technologies,Internet Services & Infrastructure,"Denver, Colorado",2024-09-23,2003
362,PANW,Palo Alto Networks,Systems Software,"Santa Clara, California",2023-06-20,2005
363,PARA,Paramount Global,Movies & Entertainment,"New York City, New York",1994-09-30,2019 (Paramount Pictures 1912)
364,PH,Parker Hannifin,Industrial Machinery & Supplies & Components,"Cleveland, Ohio",1985-11-30,1917
365,PAYX,Paychex,Human Resource & Employment Services,"Penfield, New York",1998-10-01,1971
366,PAYC,Paycom,Human Resource & Employment Services,"Oklahoma City, Oklahoma",2020-01-28,1998
367,PYPL,PayPal,Transaction & Payment Processing Services,"San Jose, California",2015-07-20,1998
368,PNR,Pentair,Industrial Machinery & Supplies & Components,"Worsley, United Kingdom",2012-10-01,1966
369,PEP,PepsiCo,Soft Drinks & Non-alcoholic Beverages,"Purchase, New York",1957-03-04,1898
370,PFE,Pfizer,Pharmaceuticals,"New York City, New York",1957-03-04,1849
371,PCG,PG&E Corporation,Multi-Utilities,"Oakland, California",2022-10-03,1905
372,PM,Philip Morris International,Tobacco,"New York City, New York",2008-03-31,2008 (1847)
373,PSX,Phillips 66,Oil & Gas Refining & Marketing,"Houston, Texas",2012-05-01,2012 (1917)
374,PNW,Pinnacle West,Multi-Utilities,"Phoenix, Arizona",1999-10-04,1985
375,PNC,PNC Financial Services,Diversified Banks,"Pittsburgh, Pennsylvania",1988-04-30,1845
376,POOL,Pool Corporation,Distributors,"Covington, Louisiana",2020-10-07,1993
377,PPG,PPG Industries,Specialty Chemicals,"Pittsburgh, Pennsylvania",1957-03-04,1883
378,PPL,PPL Corporation,Electric Utilities,"Allentown, Pennsylvania",2001-10-01,1920
379,PFG,Principal Financial Group,Life & Health Insurance,"Des Moines, Iowa",2002-07-22,1879
380,PG,Procter & Gamble,Personal Care Products,"Cincinnati, Ohio",1957-03-04,1837
381,PGR,Progressive Corporation,Property & Casualty Insurance,"Mayfield Village, Ohio",1997-08-04,1937
382,PLD,Prologis,Industrial REITs,"San Francisco, California",2003-07-17,1983
383,PRU,Prudential Financial,Life & Health Insurance,"Newark, New Jersey",2002-07-22,1875
384,PEG,Public Service Enterprise Group,Electric Utilities,"Newark, New Jersey",1957-03-04,1903
385,PTC,PTC Inc.,Application Software,"Boston, Massachusetts",2021-04-20,1985
386,PSA,Public Storage,Self-Storage REITs,"Glendale, California",2005-08-19,1972
387,PHM,PulteGroup,Homebuilding,"Atlanta, Georgia",1984-04-30,1956
388,PWR,Quanta Services,Construction & Engineering,"Houston, Texas",2009-07-01,1997
389,QCOM,Qualcomm,Semiconductors,"San Diego, California",1999-07-22,1985
390,DGX,Quest Diagnostics,Health Care Services,"Secaucus, New Jersey",2002-12-12,1967
391,RL,Ralph Lauren Corporation,"Apparel, Accessories & Luxury Goods","New York City, New York",2007-02-02,1967
392,RJF,Raymond James Financial,Investment Banking & Brokerage,"St. Petersburg, Florida",2017-03-20,1962
393,RTX,RTX Corporation,Aerospace & Defense,"Waltham, Massachusetts",1957-03-04,1922
394,O,Realty Income,Retail REITs,"San Diego, California",2015-04-07,1969
395,REG,Regency Centers,Retail REITs,"Jacksonville, Florida",2017-03-02,1963
396,REGN,Regeneron Pharmaceuticals,Biotechnology,"Tarrytown, New York",2013-05-01,1988
397,RF,Regions Financial Corporation,Regional Banks,"Birmingham, Alabama",1998-08-28,1971
398,RSG,Republic Services,Environmental & Facilities Services,"Phoenix, Arizona",2008-12-05,1998 (1981)
399,RMD,ResMed,Health Care Equipment,"San Diego, California",2017-07-26,1989
400,RVTY,Revvity,Health Care Equipment,"Waltham, Massachusetts",1985-05-31,1937
401,ROK,Rockwell Automation,Electrical Components & Equipment,"Milwaukee, Wisconsin",2000-03-12,1903
402,ROL,"Rollins, Inc.",Environmental & Facilities Services,"Atlanta, Georgia",2018-10-01,1948
403,ROP,Roper Technologies,Electronic Equipment & Instruments,"Sarasota, Florida",2009-12-23,1981
404,ROST,Ross Stores,Apparel Retail,"Dublin, California",2009-12-21,1982
405,RCL,Royal Caribbean Group,"Hotels, Resorts & Cruise Lines","Miami, Florida",2014-12-05,1997
406,SPGI,S&P Global,Financial Exchanges & Data,"New York City, New York",1957-03-04,1917
407,CRM,Salesforce,Application Software,"San Francisco, California",2008-09-15,1999
408,SBAC,SBA Communications,Telecom Tower REITs,"Boca Raton, Florida",2017-09-01,1989
409,SLB,Schlumberger,Oil & Gas Equipment & Services,"Houston, Texas",1957-03-04,1926
410,STX,Seagate Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",2012-07-02,1979
411,SRE,Sempra,Multi-Utilities,"San Diego, California",2017-03-17,1998
412,NOW,ServiceNow,Systems Software,"Santa Clara, California",2019-11-21,2003
413,SHW,Sherwin-Williams,Specialty Chemicals,"Cleveland, Ohio",1964-06-30,1866
414,SPG,Simon Property Group,Retail REITs,"Indianapolis, Indiana",2002-06-26,2003
415,SWKS,Skyworks Solutions,Semiconductors,"Irvine, California",2015-03-12,2002
416,SJM,J.M. Smucker Company (The),Packaged Foods & Meats,"Orrville, Ohio",2008-11-06,1897
417,SW,Smurfit WestRock,Paper & Plastic Packaging Products & Materials,"Dublin, Ireland",2024-07-08,1934
418,SNA,Snap-on,Industrial Machinery & Supplies & Components,"Kenosha, Wisconsin",1982-09-30,1920
419,SOLV,Solventum,Health Care Technology,"Saint Paul, Minnesota",2024-04-01,2023
420,SO,Southern Company,Electric Utilities,"Atlanta, Georgia",1957-03-04,1945
421,LUV,Southwest Airlines,Passenger Airlines,"Dallas, Texas",1994-07-01,1967
422,SWK,Stanley Black & Decker,Industrial Machinery & Supplies & Components,"New Britain, Connecticut",1982-09-30,1843
423,SBUX,Starbucks,Restaurants,"Seattle, Washington",2000-06-07,1971
424,STT,State Street Corporation,Asset Management & Custody Banks,"Boston, Massachusetts",2003-03-14,1792
425,STLD,Steel Dynamics,Steel,"Fort Wayne, Indiana",2022-12-22,1993
426,STE,Steris,Health Care Equipment,"Dublin, Ireland",2019-12-23,1985
427,SYK,Stryker Corporation,Health Care Equipment,"Kalamazoo, Michigan",2000-12-12,1941
428,SMCI,Supermicro,"Technology Hardware, Storage & Peripherals","San Jose, California",2024-03-18,1993
429,SYF,Synchrony Financial,Consumer Finance,"Stamford, Connecticut",2015-11-18,2003
430,SNPS,Synopsys,Application Software,"Sunnyvale, California",2017-03-16,1986
431,SYY,Sysco,Food Distributors,"Houston, Texas",1986-12-31,1969
432,TMUS,T-Mobile US,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1994
433,TROW,T. Rowe Price,Asset Management & Custody Banks,"Baltimore, Maryland",2019-07-29,1937
434,TTWO,Take-Two Interactive,Interactive Home Entertainment,"New York City, New York",2018-03-19,1993
435,TPR,"Tapestry, Inc.","Apparel, Accessories & Luxury Goods","New York City, New York",2004-09-01,2017
436,TRGP,Targa Resources,Oil & Gas Storage & Transportation,"Houston, Texas",2022-10-12,2005
437,TGT,Target Corporation,Consumer Staples Merchandise Retail,"Minneapolis, Minnesota",1976-12-31,1902
438,TEL,TE Connectivity,Electronic Manufacturing Services,"Galway, Ireland",2011-10-17,2007
439,TDY,Teledyne Technologies,Electronic Equipment & Instruments,"Thousand Oaks, California",2020-06-22,1960
440,TFX,Teleflex,Health Care Equipment,"Wayne, Pennsylvania",2019-01-18,1943
441,TER,Teradyne,Semiconductor Materials & Equipment,"North Reading, Massachusetts",2020-09-21,1960
442,TSLA,"Tesla, Inc.",Automobile Manufacturers,"Austin, Texas",2020-12-21,2003
