,Ticker,Company Name,Industry,Sub-Industry,Date Added,Founded
82,CPT,Camden Property Trust,Multi-Family Residential REITs,"Houston, Texas",2022-04-04,1981
83,CPB,Campbell Soup Company,Packaged Foods & Meats,"Camden, New Jersey",1957-03-04,1869
84,COF,Capital One,Consumer Finance,"Tysons Corner, Virginia",1998-07-01,1994
85,CAH,Cardinal Health,Health Care Distributors,"Dublin, Ohio",1997-05-27,1971
86,KMX,CarMax,Automotive Retail,"Richmond, Virginia",2010-06-28,1993
87,CCL,Carnival,"Hotels, Resorts & Cruise Lines","Miami, Florida",1998-12-22,1972
88,CARR,Carrier Global,Building Products,"Palm Beach Gardens, Florida",2020-04-03,"2020 (1915, United Technologies spinoff)"
89,CAT,Caterpillar Inc.,Construction Machinery & Heavy Transportation Equipment,"Irving, Texas",1957-03-04,1925
90,CBOE,Cboe Global Markets,Financial Exchanges & Data,"Chicago, Illinois",2017-03-01,1973
91,CBRE,CBRE Group,Real Estate Services,"Dallas, Texas",2006-11-10,1906
92,CDW,CDW,Technology Distributors,"Vernon Hills, Illinois",2019-09-23,1984
93,CE,Celanese,Specialty Chemicals,"Irving, Texas",2018-12-24,1918
94,COR,Cencora,Health Care Distributors,"Conshohocken, Pennsylvania",2001-08-30,1985
95,CNC,Centene Corporation,Managed Health Care,"St. Louis, Missouri",2016-03-30,1984
96,CNP,CenterPoint Energy,Multi-Utilities,"Houston, Texas",1985-07-31,1882
97,CF,CF Industries,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",2008-08-27,1946
98,CRL,Charles River Laboratories,Life Sciences Tools & Services,"Wilmington, Massachusetts",2021-05-14,1947
99,SCHW,Charles Schwab Corporation,Investment Banking & Brokerage,"Westlake, Texas",1997-06-02,1971
100,CHTR,Charter Communications,Cable & Satellite,"Stamford, Connecticut",2016-09-08,1993
101,CVX,Chevron Corporation,Integrated Oil & Gas,"San Ramon, California",1957-03-04,1879
102,CMG,Chipotle Mexican Grill,Restaurants,"Newport Beach, California",2011-04-28,1993
103,CB,Chubb Limited,Property & Casualty Insurance,"Zurich, Switzerland",2010-07-15,1985
104,CHD,Church & Dwight,Household Products,"Ewing, New Jersey",2015-12-29,1847
105,CI,Cigna,Health Care Services,"Bloomfield, Connecticut",1976-06-30,1982
106,CINF,Cincinnati Financial,Property & Casualty Insurance,"Fairfield, Ohio",1997-12-18,1950
107,CTAS,Cintas,Diversified Support Services,"Mason, Ohio",2001-03-01,1929
108,CSCO,Cisco,Communications Equipment,"San Jose, California",1993-12-01,1984
109,C,Citigroup,Diversified Banks,"New York City, New York",1988-05-31,1998
110,CFG,Citizens Financial Group,Regional Banks,"Providence, Rhode Island",2016-01-29,1828
111,CLX,Clorox,Household Products,"Oakland, California",1969-03-31,1913
112,CME,CME Group,Financial Exchanges & Data,"Chicago, Illinois",2006-08-11,1848
113,CMS,CMS Energy,Multi-Utilities,"Jackson, Michigan",1957-03-04,1886
114,KO,Coca-Cola Company (The),Soft Drinks & Non-alcoholic Beverages,"Atlanta, Georgia",1957-03-04,1886
115,CTSH,Cognizant,IT Consulting & Other Services,"Teaneck, New Jersey",2006-11-17,1994
116,CL,Colgate-Palmolive,Household Products,"New York City, New York",1957-03-04,1806
117,CMCSA,Comcast,Cable & Satellite,"Philadelphia, Pennsylvania",2002-11-19,1963
118,CAG,Conagra Brands,Packaged Foods & Meats,"Chicago, Illinois",1983-08-31,1919
119,COP,ConocoPhillips,Oil & Gas Exploration & Production,"Houston, Texas",1957-03-04,2002
120,ED,Consolidated Edison,Multi-Utilities,"New York City, New York",1957-03-04,1823
121,STZ,Constellation Brands,Distillers & Vintners,"Rochester, New York",2005-07-01,1945
122,CEG,Constellation Energy,Electric Utilities,"Baltimore, Maryland",2022-02-02,1999
123,COO,Cooper Companies (The),Health Care Supplies,"San Ramon, California",2016-09-23,1958
124,CPRT,Copart,Diversified Support Services,"Dallas, Texas",2018-07-02,1982
125,GLW,Corning Inc.,Electronic Components,"Corning, New York",1995-02-27,1851
126,CPAY,Corpay,Transaction & Payment Processing Services,"Atlanta, Georgia",2018-06-20,2000
127,CTVA,Corteva,Fertilizers & Agricultural Chemicals,"Indianapolis, Indiana",2019-06-03,2019
128,CSGP,CoStar Group,Real Estate Services,"Washington, D.C.",2022-09-19,1987
129,COST,Costco,Consumer Staples Merchandise Retail,"Issaquah, Washington",1993-10-01,1976
130,CTRA,Coterra,Oil & Gas Exploration & Production,"Houston, Texas",2008-06-23,2021 (1989)
131,CRWD,CrowdStrike,Systems Software,"Austin, Texas",2024-06-24,2011
132,CCI,Crown Castle,Telecom Tower REITs,"Houston, Texas",2012-03-14,1994
133,CSX,CSX Corporation,Rail Transportation,"Jacksonville, Florida",1957-03-04,1980
134,CMI,Cummins,Construction Machinery & Heavy Transportation Equipment,"Columbus, Indiana",1965-03-31,1919
135,CVS,CVS Health,Health Care Services,"Woonsocket, Rhode Island",1957-03-04,1996
136,DHR,Danaher Corporation,Life Sciences Tools & Services,"Washington, D.C.",1998-11-18,1969
137,DRI,Darden Restaurants,Restaurants,"Orlando, Florida",1995-05-31,1938
138,DVA,DaVita,Health Care Services,"Denver, Colorado",2008-07-31,1979
139,DAY,Dayforce,Human Resource & Employment Services,"Minneapolis, Minnesota",2021-09-20,1992
140,DECK,Deckers Brands,Footwear,"Goleta, California",2024-03-18,1973
141,DE,Deere & Company,Agricultural & Farm Machinery,"Moline, Illinois",1957-03-04,1837
142,DELL,Dell Technologies,"Technology Hardware, Storage & Peripherals","Round Rock, Texas",2024-09-23,2016
143,DAL,Delta Air Lines,Passenger Airlines,"Atlanta, Georgia",2013-09-11,1929
144,DVN,Devon Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",2000-08-30,1971
145,DXCM,Dexcom,Health Care Equipment,"San Diego, California",2020-05-12,1999
146,FANG,Diamondback Energy,Oil & Gas Exploration & Production,"Midland, Texas",2018-12-03,2007
147,DLR,Digital Realty,Data Center REITs,"Austin, Texas",2016-05-18,2004
148,DFS,Discover Financial,Consumer Finance,"Riverwoods, Illinois",2007-07-02,1985
149,DG,Dollar General,Consumer Staples Merchandise Retail,"Goodlettsville, Tennessee",2012-12-03,1939
150,DLTR,Dollar Tree,Consumer Staples Merchandise Retail,"Chesapeake, Virginia",2011-12-19,1986
151,D,Dominion Energy,Multi-Utilities,"Richmond, Virginia",2016-11-30,1983
152,DPZ,Domino's,Restaurants,"Ann Arbor, Michigan",2020-05-12,1960
153,DOV,Dover Corporation,Industrial Machinery & Supplies & Components,"Downers Grove, Illinois",1985-10-31,1955
154,DOW,Dow Inc.,Commodity Chemicals,"Midland, Michigan",2019-04-01,2019 (1897)
155,DHI,D. R. Horton,Homebuilding,"Arlington, Texas",2005-06-22,1978
156,DTE,DTE Energy,Multi-Utilities,"Detroit, Michigan",1957-03-04,1995
157,DUK,Duke Energy,Electric Utilities,"Charlotte, North Carolina",1976-06-30,1904
158,DD,DuPont,Specialty Chemicals,"Wilmington, Delaware",2019-04-02,2017 (1802)
159,EMN,Eastman Chemical Company,Specialty Chemicals,"Kingsport, Tennessee",1994-01-01,1920
160,ETN,Eaton Corporation,Electrical Components & Equipment,"Dublin, Ireland",1957-03-04,1911
161,EBAY,eBay,Broadline Retail,"San Jose, California",2002-07-22,1995
162,ECL,Ecolab,Specialty Chemicals,"Saint Paul, Minnesota",1989-01-31,1923
163,EIX,Edison International,Electric Utilities,"Rosemead, California",1957-03-04,1886
164,EW,Edwards Lifesciences,Health Care Equipment,"Irvine, California",2011-04-01,1958
165,EA,Electronic Arts,Interactive Home Entertainment,"Redwood City, California",2002-07-22,1982
166,ELV,Elevance Health,Managed Health Care,"Indianapolis, Indiana",2002-07-25,2014 (1946)
167,EMR,Emerson Electric,Electrical Components & Equipment,"Ferguson, Missouri",1965-03-31,1890
168,ENPH,Enphase Energy,Semiconductor Materials & Equipment,"Fremont, California",2021-01-07,2006
169,ETR,Entergy,Electric Utilities,"New Orleans, Louisiana",1957-03-04,1913
170,EOG,EOG Resources,Oil & Gas Exploration & Production,"Houston, Texas",2000-11-02,1999
171,EPAM,EPAM Systems,IT Consulting & Other Services,"Newtown, Pennsylvania",2021-12-14,1993
172,EQT,EQT Corporation,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",2022-10-03,1888
173,EFX,Equifax,Research & Consulting Services,"Atlanta, Georgia",1997-06-19,1899
174,EQIX,Equinix,Data Center REITs,"Redwood City, California",2015-03-20,1998
175,EQR,Equity Residential,Multi-Family Residential REITs,"Chicago, Illinois",2001-12-03,1969
176,ERIE,Erie Indemnity,Insurance Brokers,"Erie, Pennsylvania",2024-09-23,1925
177,ESS,Essex Property Trust,Multi-Family Residential REITs,"San Mateo, California",2014-04-02,1971
178,EL,Estée Lauder Companies (The),Personal Care Products,"New York City, New York",2006-01-05,1946
179,EG,Everest Group,Reinsurance,"Hamilton, Bermuda",2017-06-19,1973
180,EVRG,Evergy,Electric Utilities,"Kansas City, Missouri",2018-06-05,1909
181,ES,Eversource Energy,Electric Utilities,"Hartford, Connecticut",2009-07-24,1966
182,EXC,Exelon,Electric Utilities,"Chicago, Illinois",1957-03-04,2000
183,EXPE,Expedia Group,"Hotels, Resorts & Cruise Lines","Seattle, Washington",2007-10-02,1996
184,EXPD,Expeditors International,Air Freight & Logistics,"Seattle, Washington",2007-10-10,1979
185,EXR,Extra Space Storage,Self-Storage REITs,"Salt Lake City, Utah",2016-01-19,1977
186,XOM,ExxonMobil,Integrated Oil & Gas,"Irving, Texas",1957-03-04,1999
187,FFIV,"F5, Inc.",Communications Equipment,"Seattle, Washington",2010-12-20,1996
188,FDS,FactSet,Financial Exchanges & Data,"Norwalk, Connecticut",2021-12-20,1978
189,FICO,Fair Isaac,Application Software,"Bozeman, Montana",2023-03-20,1956
190,FAST,Fastenal,Trading Companies & Distributors,"Winona, Minnesota",2008-09-15,1967
191,FRT,Federal Realty Investment Trust,Retail REITs,"Rockville, Maryland",2016-02-01,1962
192,FDX,FedEx,Air Freight & Logistics,"Memphis, Tennessee",1980-12-31,1971
193,FIS,Fidelity National Information Services,Transaction & Payment Processing Services,"Jacksonville, Florida",2006-11-10,1968
194,FITB,Fifth Third Bancorp,Regional Banks,"Cincinnati, Ohio",1996-03-29,1858
195,FSLR,First Solar,Semiconductors,"Tempe, Arizona",2022-12-19,1999
196,FE,FirstEnergy,Electric Utilities,"Akron, Ohio",1997-11-28,1997
197,FI,Fiserv,Transaction & Payment Processing Services,"Brookfield, Wisconsin",2001-04-02,1984
198,FMC,FMC Corporation,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",2009-08-19,1883
199,F,Ford Motor Company,Automobile Manufacturers,"Dearborn, Michigan",1957-03-04,1903
200,FTNT,Fortinet,Systems Software,"Sunnyvale, California",2018-10-11,2000
201,FTV,Fortive,Industrial Machinery & Supplies & Components,"Everett, Washington",2016-07-01,2016
202,FOXA,Fox Corporation (Class A),Broadcasting,"New York City, New York",2019-03-04,2019
203,FOX,Fox Corporation (Class B),Broadcasting,"New York City, New York",2019-03-04,2019
204,BEN,Franklin Resources,Asset Management & Custody Banks,"San Mateo, California",1998-04-30,1947
205,FCX,Freeport-McMoRan,Copper,"Phoenix, Arizona",2011-07-01,1912
206,GRMN,Garmin,Consumer Electronics,"Schaffhausen, Switzerland",2012-12-12,1989
207,IT,Gartner,IT Consulting & Other Services,"Stamford, Connecticut",2017-04-05,1979
208,GE,GE Aerospace,Aerospace & Defense,"Evendale, Ohio",1957-03-04,1892
209,GEHC,GE HealthCare,Health Care Equipment,"Chicago, Illinois",2023-01-04,1994
210,GEV,GE Vernova,Heavy Electrical Equipment,"Cambridge, Massachusetts",2024-04-02,2024
211,GEN,Gen Digital,Systems Software,"Tempe, Arizona",2003-03-25,1982
212,GNRC,Generac,Electrical Components & Equipment,"Waukesha, Wisconsin",2021-03-22,1959
213,GD,General Dynamics,Aerospace & Defense,"Falls Church, Virginia",1957-03-04,1899
214,GIS,General Mills,Packaged Foods & Meats,"Golden Valley, Minnesota",1957-03-04,1856
215,GM,General Motors,Automobile Manufacturers,"Detroit, Michigan",2013-06-06,1908
216,GPC,Genuine Parts Company,Distributors,"Atlanta, Georgia",1973-12-31,1925
217,GILD,Gilead Sciences,Biotechnology,"Foster City, California",2004-07-01,1987
218,GPN,Global Payments,Transaction & Payment Processing Services,"Atlanta, Georgia",2016-04-25,2000
219,GL,Globe Life,Life & Health Insurance,"McKinney, Texas",1989-04-30,1900
220,GDDY,GoDaddy,Internet Services & Infrastructure,"Tempe, Arizona",2024-06-24,1997
221,GS,Goldman Sachs,Investment Banking & Brokerage,"New York City, New York",2002-07-22,1869
222,HAL,Halliburton,Oil & Gas Equipment & Services,"Houston, Texas",1957-03-04,1919
223,HIG,Hartford (The),Property & Casualty Insurance,"Hartford, Connecticut",1957-03-04,1810
224,HAS,Hasbro,Leisure Products,"Pawtucket, Rhode Island",1984-09-30,1923
225,HCA,HCA Healthcare,Health Care Facilities,"Nashville, Tennessee",2015-01-27,1968
226,DOC,Healthpeak Properties,Health Care REITs,"Denver, Colorado",2008-03-31,1985
227,HSIC,Henry Schein,Health Care Distributors,"Melville, New York",2015-03-17,1932
228,HSY,Hershey Company (The),Packaged Foods & Meats,"Hershey, Pennsylvania",1957-03-04,1894
229,HES,Hess Corporation,Integrated Oil & Gas,"New York City, New York",1984-05-31,1919
230,HPE,Hewlett Packard Enterprise,"Technology Hardware, Storage & Peripherals","Houston, Texas",2015-11-02,2015
231,HLT,Hilton Worldwide,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",2017-06-19,1919
232,HOLX,Hologic,Health Care Equipment,"Marlborough, Massachusetts",2016-03-30,1985
233,HD,Home Depot (The),Home Improvement Retail,"Atlanta, Georgia",1988-03-31,1978
234,HON,Honeywell,Industrial Conglomerates,"Charlotte, North Carolina",1957-03-04,1906
235,HRL,Hormel Foods,Packaged Foods & Meats,"Austin, Minnesota",2009-03-04,1891
236,HST,Host Hotels & Resorts,Hotel & Resort REITs,"Bethesda, Maryland",2007-03-20,1993
237,HWM,Howmet Aerospace,Aerospace & Defense,"Pittsburgh, Pennsylvania",2016-10-21,1888
238,HPQ,HP Inc.,"Technology Hardware, Storage & Peripherals","Palo Alto, California",1974-12-31,1939 (2015)
239,HUBB,Hubbell Incorporated,Industrial Machinery & Supplies & Components,"Shelton, Connecticut",2023-10-18,1888
240,HUM,Humana,Managed Health Care,"Louisville, Kentucky",2012-12-10,1961
241,HBAN,Huntington Bancshares,Regional Banks,"Columbus, Ohio; Detroit, Michigan",1997-08-28,1866
242,HII,Huntington Ingalls Industries,Aerospace & Defense,"Newport News, Virginia",2018-01-03,2011
243,IBM,IBM,IT Consulting & Other Services,"Armonk, New York",1957-03-04,1911
244,IEX,IDEX Corporation,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",2019-08-09,1988
245,IDXX,Idexx Laboratories,Health Care Equipment,"Westbrook, Maine",2017-01-05,1983
246,ITW,Illinois Tool Works,Industrial Machinery & Supplies & Components,"Glenview, Illinois",1986-02-28,1912
247,INCY,Incyte,Biotechnology,"Wilmington, Delaware",2017-02-28,1991
248,IR,Ingersoll Rand,Industrial Machinery & Supplies & Components,"Davidson, North Carolina",2020-03-03,1859
249,PODD,Insulet Corporation,Health Care Equipment,"Acton, Massachusetts",2023-03-15,2000
250,INTC,Intel,Semiconductors,"Santa Clara, California",1976-12-31,1968
251,ICE,Intercontinental Exchange,Financial Exchanges & Data,"Atlanta, Georgia",2007-09-26,2000
252,IFF,International Flavors & Fragrances,Specialty Chemicals,"New York City, New York",1976-03-31,1958 (1889)
253,IP,International Paper,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,1898
254,IPG,Interpublic Group of Companies (The),Advertising,"New York City, New York",1992-10-01,1961 (1930)
255,INTU,Intuit,Application Software,"Mountain View, California",2000-12-05,1983
256,ISRG,Intuitive Surgical,Health Care Equipment,"Sunnyvale, California",2008-06-02,1995
257,IVZ,Invesco,Asset Management & Custody Banks,"Atlanta, Georgia",2008-08-21,1935
258,INVH,Invitation Homes,Single-Family Residential REITs,"Dallas, Texas",2022-09-19,2012
259,IQV,IQVIA,Life Sciences Tools & Services,"Durham, North Carolina",2017-08-29,1982
260,IRM,Iron Mountain,Other Specialized REITs,"Boston, Massachusetts",2009-01-06,1951
261,JBHT,J.B. Hunt,Cargo Ground Transportation,"Lowell, Arkansas",2015-07-01,1961
262,JBL,Jabil,Electronic Manufacturing Services,"St. Petersburg, Florida",2023-12-18,1966
263,JKHY,Jack Henry & Associates,Transaction & Payment Processing Services,"Monett, Missouri",2018-11-13,1976
264,J,Jacobs Solutions,Construction & Engineering,"Dallas, Texas",2007-10-26,1947
265,JNJ,Johnson & Johnson,Pharmaceuticals,"New Brunswick, New Jersey",1973-06-30,1886
266,JCI,Johnson Controls,Building Products,"Cork, Ireland",2010-08-27,1885
267,JPM,JPMorgan Chase,Diversified Banks,"New York City, New York",1975-06-30,2000 (1799 / 1871)
268,JNPR,Juniper Networks,Communications Equipment,"Sunnyvale, California",2006-06-02,1996
269,K,Kellanova,Packaged Foods & Meats,"Chicago, Illinois",1989-09-11,1906
270,KVUE,Kenvue,Personal Care Products,"Skillman, New Jersey",2023-08-25,2022 (Johnson & Johnson spinoff)
271,KDP,Keurig Dr Pepper,Soft Drinks & Non-alcoholic Beverages,"Burlington, Massachusetts",2022-06-21,1981
272,KEY,KeyCorp,Regional Banks,"Cleveland, Ohio",1994-03-01,1825
273,KEYS,Keysight Technologies,Electronic Equipment & Instruments,"Santa Rosa, California",2018-11-06,2014 (1939)
274,KMB,Kimberly-Clark,Household Products,"Irving, Texas",1957-03-04,1872
275,KIM,Kimco Realty,Retail REITs,"Jericho, New York",2006-04-04,1958
276,KMI,Kinder Morgan,Oil & Gas Storage & Transportation,"Houston, Texas",2012-05-25,1997
277,KKR,KKR,Asset Management & Custody Banks,"New York City, New York",2024-06-24,1976
278,KLAC,KLA Corporation,Semiconductor Materials & Equipment,"Milpitas, California",1997-09-30,1975/1977 (1997)
279,KHC,Kraft Heinz,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,2015 (1869)
280,KR,Kroger,Food Retail,"Cincinnati, Ohio",1957-03-04,1883
281,LHX,L3Harris,Aerospace & Defense,"Melbourne, Florida",2008-09-22,"2019 (L3 1997, Harris 1895)"
282,LH,LabCorp,Health Care Services,"Burlington, North Carolina",2004-11-01,1978
283,LRCX,Lam Research,Semiconductor Materials & Equipment,"Fremont, California",2012-06-29,1980
284,LW,Lamb Weston,Packaged Foods & Meats,"Eagle, Idaho",2018-12-03,2016 (1950)
285,LVS,Las Vegas Sands,Casinos & Gaming,"Las Vegas, Nevada",2019-10-03,1988
286,LDOS,Leidos,Diversified Support Services,"Reston, Virginia",2019-08-09,1969
287,LEN,Lennar,Homebuilding,"Miami, Florida",2005-10-04,1954
288,LII,Lennox International,Building Products,"Richardson, Texas",2024-12-23,1895
289,LLY,Lilly (Eli),Pharmaceuticals,"Indianapolis, Indiana",1970-12-31,1876
290,LIN,Linde plc,Industrial Gases,"Guildford, United Kingdom",1992-07-01,1879
291,LYV,Live Nation Entertainment,Movies & Entertainment,"Beverly Hills, California",2019-12-23,2010
292,LKQ,LKQ Corporation,Distributors,"Chicago, Illinois",2016-05-23,1998
293,LMT,Lockheed Martin,Aerospace & Defense,"Bethesda, Maryland",1957-03-04,1995
