Price,Close,High,Low,Open,Volume
Ticker,NI,NI,NI,NI,NI
Date,,,,,
2010-01-04,3.6225714683532715,3.664612319692994,3.603885889692377,3.634249246413293,6905603
2010-01-05,3.6132290363311768,3.6505996333976256,3.578194562173437,3.6319146183056663,8784322
2010-01-06,3.5711891651153564,3.624908385779342,3.5501680213014866,3.6155658756497777,7382791
2010-01-07,3.5268094539642334,3.573522546768029,3.5057891716010916,3.561843919265588,7407223
2010-01-08,3.5081264972686768,3.533818470350148,3.4730920142886106,3.5034553840400475,15739298
2010-01-11,3.5525031089782715,3.5595100615107347,3.491776375991128,3.512797517029824,7952107
2010-01-12,3.564181089401245,3.601551121124619,3.526810490795318,3.54316023397589,6515964
2010-01-13,3.6202356815338135,3.6249070766321774,3.557173690073967,3.5922081612673527,6572717
2010-01-14,3.624906539916992,3.636584600771949,3.608557084655332,3.62257126787544,3255310
2010-01-15,3.5711891651153564,3.6155658756497777,3.5291474443703033,3.6038875254068152,5240155
2010-01-19,3.624906539916992,3.6249065399169917,3.554837607904849,3.578193729614764,2950164
2010-01-20,3.6108932495117188,3.6108932495117188,3.5665162706443914,3.603886298439773,3826153
2010-01-21,3.473090648651123,3.6062221418217786,3.4427275742799432,3.5665159943430753,22677223
2010-01-22,3.405357837677002,3.503454886278218,3.4006870085533287,3.470755964558245,11887695
2010-01-25,3.4263784885406494,3.461412961538579,3.389007892711348,3.435720995777347,7603442
2010-01-26,3.4590768814086914,3.475426340135056,3.4076929492519046,3.4287140868161727,6195039
2010-01-27,3.4282352924346924,3.478056833160359,3.3926481485877207,3.4685669473286707,8991231
2010-01-28,3.3950202465057373,3.454332536562311,3.3784128743889106,3.4353521891501253,9851186
2010-01-29,3.380786418914795,3.4400984411474997,3.3807864189147945,3.4140011743981216,8842603
2010-02-01,3.5231339931488037,3.5563481574908034,3.3807848599364565,3.397392230019978,14476978
2010-02-02,3.5990536212921143,3.6014263087477265,3.4899197873611905,3.518389445615445,8762944
2010-02-03,3.5848188400268555,3.6061710111670395,3.5563486067106407,3.5563486067106407,6164499
2010-02-04,3.494663715362549,3.563465881842622,3.494663715362549,3.558721083548318,6140067
2010-02-05,3.482801675796509,3.5017811566473918,3.423489394563994,3.4899191610609113,7216093
2010-02-08,3.4590768814086914,3.501781509384258,3.454332370608696,3.4733121412839383,5735412
2010-02-09,3.513643741607666,3.5610937434122705,3.4780566001448867,3.4899194604867114,8917171
2010-02-10,3.4922916889190674,3.525506720086555,3.4685668311780327,3.52076134546078,6094512
2010-02-11,3.5088982582092285,3.5136427676231907,3.440096105763981,3.4638212440459264,7384572
2010-02-12,3.4733128547668457,3.485174853984868,3.430607930106352,3.482802742053866,9643769
2010-02-16,3.561093807220459,3.5610938072204585,3.494664033833746,3.5136438045656386,7927675
2010-02-17,3.551604747772217,3.5777020105755653,3.5468593721169013,3.5777020105755653,5236592
2010-02-18,3.5587217807769775,3.589563839470119,3.537369032619083,3.5397414322310383,8357780
2010-02-19,3.5966806411743164,3.6085429248873093,3.5278787622314165,3.5444861321771177,6267063
2010-02-22,3.6085433959960938,3.627523743404884,3.5943087112646155,3.618032993875375,6529198
2010-02-23,3.5682103633880615,3.6156597778530166,3.558720480495071,3.6061698949600256,6139304
2010-02-24,3.561093807220459,3.5848186645915967,3.5160167797540773,3.5682112932230545,7452269
2010-02-25,3.556347608566284,3.5610929820184416,3.4970361986638645,3.5160159649976297,4593471
2010-02-26,3.563466787338257,3.5990539352384916,3.5444870135131437,3.565838899175657,23137868
2010-03-01,3.5990536212921143,3.6132885943755246,3.57058396303786,3.580073849122612,5208852
2010-03-02,3.591935396194458,3.6227780259473814,3.5255064898479196,3.6085430546498873,6397621
2010-03-03,3.594308853149414,3.6132886254823138,3.572956393340476,3.591935877760807,4486072
2010-03-04,3.591935396194458,3.6156605402986344,3.5587212309337186,3.6061706554044815,5037319
2010-03-05,3.648876190185547,3.648876190185547,3.5895641788902513,3.606171553569438,3692541
2010-03-08,3.6631100177764893,3.6654821287708055,3.639384877058488,3.6417572759652925,2848619
2010-03-09,3.6607372760772705,3.670227160221078,3.6346400227036724,3.670227160221078,3165471
2010-03-10,3.6892080307006836,3.6892080307006836,3.648875513488071,3.6702276838799857,4270510
2010-03-11,3.693953037261963,3.6963254369766214,3.6488760031205114,3.6726008640048597,3670654
2010-03-12,3.6749727725982666,3.7176774013180367,3.6607378003874933,3.7105599152126505,3897922
2010-03-15,3.679718017578125,3.6797180175781254,3.6465029876190074,3.6797180175781254,3363218
2010-03-16,3.720050096511841,3.720050096511841,3.6654831785526225,3.6773454643964527,4139952
2010-03-17,3.7556371688842773,3.769872429862533,3.715305512964997,3.7247953990379354,4089815
2010-03-18,3.7390289306640625,3.7532641883467446,3.715304652842921,3.7508917893558804,3590232
2010-03-19,3.73191237449646,3.767499514374567,3.6892077490602273,3.7319123744964604,6254847
2010-03-22,3.7247962951660156,3.729540807475092,3.693953654161717,3.710561030762977,2976632
2010-03-23,3.762754440307617,3.769872214346118,3.7081878144421165,3.724795186098488,3827935
2010-03-24,3.7247962951660156,3.760383448479391,3.717678519008179,3.743776071878131,3842187
2010-03-25,3.703441858291626,3.7532642533501495,3.7034418582916255,3.734284485269524,3191685
2010-03-26,3.7437734603881836,3.776988190421584,3.7129308408983253,3.715303815179169,14055272
2010-03-29,3.7888526916503906,3.795970179103045,3.741403255153702,3.7532655422997236,3453565
2010-03-30,3.7935965061187744,3.8030863902332905,3.779361535990747,3.7935965061187744,2773541
2010-03-31,3.7485196590423584,3.7983417765499037,3.748519659042358,3.7888521784485394,4810814
2010-04-01,3.833928346633911,3.836301033538132,3.762753785669777,3.762753785669777,4904215
2010-04-05,3.864772081375122,3.8742619686828514,3.836302419451935,3.836302419451935,4303086
2010-04-06,3.9027321338653564,3.9098496222421075,3.8410477144545774,3.848165202831329,2949146
2010-04-07,3.8742611408233643,3.9264556538191537,3.8363015997037144,3.9074758832593286,5088473
2010-04-08,3.843418598175049,3.864771344392689,3.8244391150914363,3.862398944996306,3643168
2010-04-09,3.8552818298339844,3.855281829833985,3.8244394830632884,3.8529088543841876,14332931
